inmate_id,booking_date
1722089,2017-11-03
1722090,2017-11-03
1722091,2017-11-03
1722092,2017-11-03
1722093,2017-11-03
1722094,2017-11-03
1722095,2017-11-03
1722096,2017-11-03
1722097,2017-11-03
1722098,2017-11-03
1722099,2017-11-03
1722100,2017-11-03
1722101,2017-11-03
1722102,2017-11-03
1722103,2017-11-03
1722104,2017-11-03
1722105,2017-11-03
1722106,2017-11-03
1722107,2017-11-03
1722108,2017-11-03
1722109,2017-11-03
1722110,2017-11-03
1722111,2017-11-03
1722112,2017-11-03
1722113,2017-11-03
1722114,2017-11-03
1722115,2017-11-03
1722116,2017-11-03
1722117,2017-11-03
1722118,2017-11-03
1722119,2017-11-03
1722120,2017-11-03
1722121,2017-11-03
1722122,2017-11-03
1722123,2017-11-03
1722124,2017-11-03
1722125,2017-11-03
1722126,2017-11-03
1722127,2017-11-03
1722128,2017-11-03
1722129,2017-11-03
1722130,2017-11-03
1722131,2017-11-03
1722132,2017-11-03
1722133,2017-11-03
1722134,2017-11-03
1722135,2017-11-03
1722136,2017-11-03
1722137,2017-11-03
1722138,2017-11-03
1722139,2017-11-03
1722140,2017-11-03
1722141,2017-11-03
1722142,2017-11-03
1722143,2017-11-03
1722144,2017-11-03
1722145,2017-11-03
1722146,2017-11-03
1722147,2017-11-03
1722148,2017-11-03
1722149,2017-11-03
1722150,2017-11-03
1722151,2017-11-03
1722152,2017-11-03
1722153,2017-11-03
1722154,2017-11-03
1722155,2017-11-03
1722156,2017-11-03
1722157,2017-11-03
1722158,2017-11-03
1722159,2017-11-03
1722160,2017-11-03
1722161,2017-11-04
1722162,2017-11-04
1722163,2017-11-04
1722164,2017-11-04
1722165,2017-11-04
1722166,2017-11-04
1722167,2017-11-04
1722168,2017-11-04
1722169,2017-11-04
1722170,2017-11-04
1722171,2017-11-04
1722172,2017-11-04
1722173,2017-11-04
1722174,2017-11-04
1722175,2017-11-04
1722176,2017-11-04
1722177,2017-11-04
1722178,2017-11-04
1722179,2017-11-04
1722180,2017-11-04
1722181,2017-11-04
1722182,2017-11-04
1722183,2017-11-04
1722184,2017-11-04
1722185,2017-11-04
1722186,2017-11-04
1722187,2017-11-04
1722188,2017-11-04
1722189,2017-11-04
1722190,2017-11-04
1722191,2017-11-04
1722192,2017-11-04
1722193,2017-11-04
1722194,2017-11-04
1722195,2017-11-04
1722196,2017-11-04
1722197,2017-11-04
1722198,2017-11-04
1722199,2017-11-04
1722200,2017-11-04
1722201,2017-11-04
1722202,2017-11-04
1722203,2017-11-04
1722204,2017-11-04
1722205,2017-11-04
1722206,2017-11-04
1722207,2017-11-04
1722208,2017-11-04
1722209,2017-11-04
1722210,2017-11-04
1722211,2017-11-04
1722212,2017-11-04
1722213,2017-11-04
1722214,2017-11-05
1722215,2017-11-05
1722216,2017-11-05
1722217,2017-11-05
1722218,2017-11-05
1722219,2017-11-05
1722220,2017-11-05
1722221,2017-11-05
1722222,2017-11-05
1722223,2017-11-05
1722224,2017-11-05
1722225,2017-11-05
1722226,
1722227,2017-11-05
1722228,2017-11-05
1722229,2017-11-05
1722230,2017-11-05
1722231,2017-11-05
1722232,2017-11-05
1722233,2017-11-05
1722234,2017-11-05
1722235,2017-11-05
1722236,2017-11-05
1722237,2017-11-05
1722238,2017-11-05
1722239,2017-11-05
1722240,2017-11-05
1722241,2017-11-05
1722242,2017-11-05
1722243,2017-11-05
1722244,2017-11-05
1722245,2017-11-05
1722246,2017-11-05
1722247,2017-11-05
1722248,2017-11-05
1722249,2017-11-05
1722250,2017-11-05
1722251,2017-11-05
1722252,2017-11-05
1722253,2017-11-05
1722254,2017-11-05
1722255,2017-11-05
1722256,2017-11-06
1722257,2017-11-06
1722258,2017-11-06
1722259,2017-11-06
1722260,2017-11-06
1722261,2017-11-06
1722262,2017-11-06
1722263,2017-11-06
1722264,2017-11-06
1722265,2017-11-06
1722266,2017-11-06
1722267,2017-11-06
1722268,2017-11-06
1722269,2017-11-06
1722270,2017-11-06
1722271,2017-11-06
1722272,2017-11-06
1722273,2017-11-06
1722274,2017-11-06
1722275,2017-11-06
1722276,2017-11-06
1722277,2017-11-06
1722278,2017-11-06
1722279,2017-11-06
1722280,2017-11-06
1722281,2017-11-06
1722282,2017-11-06
1722283,2017-11-06
1722284,2017-11-06
1722285,2017-11-06
1722286,2017-11-06
1722287,2017-11-06
1722288,2017-11-06
1722289,2017-11-06
1722290,2017-11-06
1722291,2017-11-06
1722292,2017-11-06
1722293,2017-11-06
1722294,2017-11-06
1722295,2017-11-06
1722296,2017-11-06
1722297,2017-11-06
1722298,2017-11-06
1722299,2017-11-06
1722300,2017-11-06
1722301,2017-11-06
1722302,2017-11-06
1722303,2017-11-06
1722304,2017-11-06
1722305,2017-11-06
1722306,2017-11-06
1722307,2017-11-06
1722308,2017-11-06
1722309,2017-11-06
1722310,2017-11-06
1722311,2017-11-06
1722312,2017-11-06
1722313,2017-11-06
1722314,2017-11-06
1722315,2017-11-06
1722316,2017-11-06
1722317,2017-11-06
1722318,2017-11-06
1722319,2017-11-06
1722320,2017-11-06
1722321,2017-11-06
1722322,2017-11-06
1722323,2017-11-06
1722324,2017-11-06
1722325,2017-11-06
1722326,2017-11-06
1722327,2017-11-06
1722328,2017-11-07
1722329,2017-11-07
1722330,2017-11-07
1722331,2017-11-07
1722332,2017-11-07
1722333,2017-11-07
1722334,2017-11-07
1722335,2017-11-07
1722336,2017-11-07
1722337,2017-11-07
1722338,2017-11-07
1722339,2017-11-07
1722340,2017-11-07
1722341,2017-11-07
1722342,2017-11-07
1722343,2017-11-07
1722344,2017-11-07
1722345,2017-11-07
1722346,2017-11-07
1722347,2017-11-07
1722348,2017-11-07
1722349,2017-11-07
1722350,2017-11-07
1722351,2017-11-07
1722352,2017-11-07
1722353,2017-11-07
1722354,2017-11-07
1722355,2017-11-07
1722356,2017-11-07
1722357,2017-11-07
1722358,2017-11-07
1722359,2017-11-07
1722361,2017-11-07
1722362,2017-11-07
1722363,2017-11-07
1722364,2017-11-07
1722365,2017-11-07
1722366,2017-11-07
1722367,2017-11-07
1722368,2017-11-07
1722369,2017-11-07
1722370,2017-11-07
1722371,2017-11-07
1722372,2017-11-07
1722373,2017-11-07
1722374,2017-11-07
1722375,2017-11-07
1722376,2017-11-07
1722377,2017-11-07
1722378,2017-11-07
1722379,2017-11-07
1722380,2017-11-07
1722381,2017-11-07
1722382,2017-11-07
1722383,2017-11-07
1722384,2017-11-07
1722385,2017-11-07
1722386,2017-11-07
1722387,2017-11-07
1722388,2017-11-07
1722389,2017-11-07
1722390,2017-11-07
1722391,2017-11-07
1722392,2017-11-07
1722393,2017-11-07
1722394,2017-11-07
1722395,2017-11-07
1722396,2017-11-07
1722397,2017-11-07
1722398,2017-11-07
1722399,2017-11-07
1722400,2017-11-07
1722401,2017-11-07
1722402,2017-11-07
1722403,2017-11-07
1722405,2017-11-07
1722406,2017-11-07
1722407,2017-11-07
1722408,2017-11-07
1722409,2017-11-07
1722410,2017-11-07
1722411,2017-11-07
1722412,2017-11-07
1722413,2017-11-07
1722414,2017-11-07
1722415,2017-11-07
1722416,2017-11-07
1722417,2017-11-07
1722418,2017-11-07
1722419,2017-11-07
1722420,2017-11-07
1722421,2017-11-07
1722422,2017-11-07
1722423,2017-11-07
1722424,2017-11-07
1722425,2017-11-07
1722426,2017-11-07
1722427,2017-11-07
1722428,2017-11-07
1722429,2017-11-07
1722430,2017-11-07
1722431,2017-11-07
1722432,2017-11-07
1722433,2017-11-07
1722434,2017-11-07
1722435,2017-11-07
1722436,2017-11-07
1722437,2017-11-07
1722438,2017-11-07
1722439,2017-11-07
1722440,2017-11-07
1722441,2017-11-07
1722442,2017-11-08
1722443,2017-11-08
1722444,2017-11-08
1722445,2017-11-08
1722446,2017-11-08
1722447,2017-11-08
1722448,2017-11-08
1722449,2017-11-08
1722450,2017-11-08
1722451,2017-11-08
1722452,2017-11-08
1722453,2017-11-08
1722454,2017-11-08
1722455,2017-11-08
1722456,2017-11-08
1722457,2017-11-08
1722458,2017-11-08
1722459,2017-11-08
1722460,2017-11-08
1722461,2017-11-08
1722462,2017-11-08
1722463,2017-11-08
1722464,2017-11-08
1722465,2017-11-08
1722466,2017-11-08
1722467,2017-11-08
1722468,2017-11-08
1722469,2017-11-08
1722470,2017-11-08
1722471,2017-11-08
1722472,2017-11-08
1722473,2017-11-08
1722474,2017-11-08
1722475,2017-11-08
1722476,2017-11-08
1722477,2017-11-08
1722478,2017-11-08
1722479,2017-11-08
1722480,2017-11-08
1722481,2017-11-08
1722482,2017-11-08
1722483,2017-11-08
1722484,2017-11-08
1722485,2017-11-08
1722486,2017-11-08
1722487,2017-11-08
1722488,2017-11-08
1722489,2017-11-08
1722490,2017-11-08
1722491,2017-11-08
1722493,2017-11-08
1722494,2017-11-08
1722495,2017-11-08
1722496,2017-11-08
1722497,2017-11-08
1722498,2017-11-08
1722499,2017-11-08
1722500,2017-11-08
1722501,2017-11-08
1722502,2017-11-08
1722503,2017-11-08
1722504,2017-11-08
1722505,2017-11-08
1722506,2017-11-08
1722507,2017-11-08
1722508,2017-12-07
1722509,2017-11-08
1722510,2017-11-08
1722511,2017-11-09
1722512,2017-11-09
1722513,2017-11-09
1722514,2017-11-09
1722515,2017-11-09
1722516,2017-11-09
1722517,2017-11-09
1722518,2017-11-09
1722519,2017-11-09
1722520,2017-11-09
1722521,2017-11-09
1722522,2017-11-09
1722523,2017-11-09
1722524,2017-11-09
1722525,2017-11-09
1722526,2017-11-09
1722527,2017-11-09
1722528,2017-11-09
1722529,2017-11-09
1722530,2017-11-09
1722531,2017-11-09
1722532,2017-11-09
1722533,2017-11-09
1722534,2017-11-09
1722535,2017-11-09
1722536,2017-11-09
1722537,2017-11-09
1722538,2017-11-09
1722539,2017-11-09
1722540,2017-11-09
1722541,2017-11-09
1722542,2017-11-09
1722543,2017-11-09
1722544,2017-11-09
1722545,2017-11-09
1722546,2017-11-09
1722547,2017-11-09
1722548,2017-11-09
1722549,2017-11-09
1722550,2017-11-09
1722551,2017-11-09
1722552,2017-11-09
1722553,2017-11-09
1722554,2017-11-09
1722555,2017-11-09
1722556,2017-11-09
1722557,2017-11-09
1722558,2017-11-09
1722559,2017-11-09
1722560,2017-11-09
1722561,2017-11-09
1722562,2017-11-09
1722563,2017-11-09
1722564,2017-11-09
1722565,2017-11-09
1722566,2017-11-09
1722567,2017-11-09
1722568,2017-11-09
1722569,2017-11-09
1722570,2017-11-09
1722571,2017-11-09
1722572,2017-11-09
1722573,2017-11-09
1722574,2017-11-09
1722575,2017-11-09
1722576,2017-11-09
1722577,2017-11-09
1722578,2017-11-09
1722579,2017-11-09
1722580,2017-11-09
1722581,2017-11-09
1722582,2017-11-09
1722583,2017-11-09
1722584,2017-11-09
1722585,2017-11-09
1722586,2017-11-09
1722587,2017-11-09
1722588,2017-11-09
1722589,2017-11-09
1722590,2017-11-09
1722591,2017-11-09
1722592,2017-11-09
1722593,2017-11-09
1722594,2017-11-09
1722595,2017-11-09
1722596,2017-11-09
1722597,2017-11-09
1722598,2017-11-09
1722599,2017-11-09
1722600,2017-11-09
1722601,2017-11-09
1722602,2017-11-09
1722603,2017-11-09
1722604,2017-11-09
1722605,2017-11-09
1722606,2017-11-09
1722607,2017-11-09
1722608,2017-11-10
1722609,2017-11-10
1722610,2017-11-10
1722611,2017-11-10
1722612,2017-11-10
1722613,2017-11-10
1722614,2017-11-10
1722615,2017-11-10
1722616,2017-11-10
1722617,2017-11-10
1722618,2017-11-10
1722619,2017-11-10
1722620,2017-11-10
1722621,2017-11-10
1722622,2017-11-10
1722623,2017-11-10
1722624,2017-11-10
1722625,2017-11-10
1722626,2017-11-10
1722627,2017-11-10
1722628,2017-11-10
1722629,2017-11-10
1722630,2017-11-10
1722631,2017-11-10
1722632,2017-11-10
1722633,2017-11-10
1722634,2017-11-10
1722635,2017-11-10
1722636,2017-11-10
1722637,2017-11-10
1722638,2017-11-10
1722639,2017-11-10
1722640,2017-11-10
1722641,2017-11-10
1722642,2017-11-10
1722643,2017-11-10
1722644,2017-11-10
1722645,2017-11-10
1722646,2017-11-10
1722647,2017-11-10
1722648,2017-11-10
1722649,2017-11-10
1722650,2017-11-10
1722651,2017-11-10
1722652,2017-11-10
1722653,2017-11-10
1722654,2017-11-10
1722655,2017-11-10
1722656,2017-11-10
1722657,2017-11-10
1722658,2017-11-10
1722659,2017-11-10
1722660,2017-11-10
1722661,2017-11-10
1722662,2017-11-10
1722663,2017-11-10
1722664,2017-11-10
1722665,2017-11-10
1722666,2017-11-10
1722667,2017-11-10
1722668,2017-11-11
1722669,2017-11-11
1722670,2017-11-11
1722671,2017-11-11
1722672,2017-11-11
1722673,2017-11-11
1722674,2017-11-11
1722675,2017-11-11
1722676,2017-11-11
1722677,2017-11-11
1722678,2017-11-11
1722679,2017-11-11
1722680,2017-11-11
1722681,2017-11-11
1722682,2017-11-11
1722683,2017-11-11
1722684,2017-11-11
1722685,2017-11-11
1722686,2017-11-11
1722687,2017-11-11
1722688,2017-11-11
1722689,2017-11-11
1722690,2017-11-11
1722691,2017-11-11
1722692,2017-11-11
1722693,2017-11-11
1722694,2017-11-11
1722695,2017-11-11
1722696,2017-11-11
1722697,2017-11-11
1722698,2017-11-11
1722699,2017-11-11
1722700,2017-11-11
1722701,2017-11-11
1722702,2017-11-11
1722703,2017-11-11
1722704,2017-11-11
1722705,2017-11-12
1722706,2017-11-12
1722707,2017-11-12
1722708,2017-11-12
1722709,2017-11-12
1722710,2017-11-12
1722711,2017-11-12
1722712,2017-11-12
1722713,2017-11-12
1722714,2017-11-12
1722715,2017-11-12
1722716,2017-11-12
1722717,2017-11-12
1722718,2017-11-12
1722719,2017-11-12
1722720,2017-11-12
1722721,2017-11-12
1722722,2017-11-12
1722723,2017-11-12
1722724,2017-11-12
1722725,2017-11-12
1722726,2017-11-12
1722727,2017-11-12
1722728,2017-11-12
1722729,2017-11-12
1722730,2017-11-12
1722731,2017-11-12
1722732,2017-11-12
1722733,2017-11-12
1722734,2017-11-12
1722735,2017-11-12
1722736,2017-11-12
1722737,2017-11-12
1722738,2017-11-12
1722739,2017-11-12
1722740,2017-11-12
1722741,2017-11-12
1722742,2017-11-12
1722743,2017-11-12
1722744,2017-11-13
1722745,2017-11-13
1722746,2017-11-13
1722747,2017-11-13
1722748,2017-11-13
1722749,2017-11-13
1722750,2017-11-13
1722751,2017-11-13
1722752,2017-11-13
1722753,2017-11-13
1722754,2017-11-13
1722755,2017-11-13
1722756,2017-11-13
1722757,2017-11-13
1722758,2017-11-13
1722759,2017-11-13
1722760,2017-11-13
1722761,2017-11-13
1722762,2017-11-13
1722763,2017-11-13
1722764,2017-11-13
1722765,2017-11-13
1722766,2017-11-13
1722768,2017-11-13
1722769,2017-11-13
1722770,2017-11-13
1722771,2017-11-13
1722772,2017-11-13
1722773,2017-11-13
1722774,2017-11-13
1722775,2017-11-13
1722776,2017-11-13
1722777,2017-11-13
1722778,2017-11-13
1722779,2017-11-13
1722780,2017-11-13
1722781,2017-11-13
1722782,2017-11-13
1722783,2017-11-13
1722784,2017-11-13
1722785,2017-11-13
1722786,2017-11-13
1722787,2017-11-13
1722788,2017-11-13
1722789,2017-11-13
1722790,2017-11-13
1722791,2017-11-13
1722792,2017-11-13
1722793,2017-11-13
1722794,2017-11-13
1722795,2017-11-13
1722796,2017-11-13
1722797,2017-11-13
1722798,2017-11-13
1722799,2017-11-13
1722800,2017-11-13
1722801,2017-11-13
1722802,2017-11-13
1722803,2017-11-13
1722804,2017-11-13
1722805,2017-11-13
1722806,2017-11-13
1722807,2017-11-13
1722808,2017-11-13
1722809,2017-11-13
1722810,2017-11-13
1722811,2017-11-13
1722812,2017-11-13
1722813,2017-11-13
1722814,2017-11-13
1722815,2017-11-13
1722816,2017-11-13
1722817,2017-11-13
1722818,2017-11-13
1722819,2017-11-13
1722820,2017-11-13
1722821,2017-11-13
1722822,2017-11-13
1722823,2017-11-13
1722824,2017-11-13
1722825,2017-11-13
1722826,2017-11-13
1722827,2017-11-13
1722828,2017-11-14
1722829,2017-11-14
1722830,2017-11-14
1722831,2017-11-14
1722832,2017-11-14
1722833,2017-11-14
1722834,2017-11-14
1722835,2017-11-14
1722836,2017-11-14
1722837,2017-11-14
1722838,2017-11-14
1722839,2017-11-14
1722840,2017-11-14
1722841,2017-11-14
1722842,2017-11-14
1722843,2017-11-14
1722844,2017-11-14
1722845,2017-11-14
1722846,2017-11-14
1722847,2017-11-14
1722848,2017-11-14
1722849,2017-11-14
1722850,2017-11-14
1722851,2017-11-14
1722852,2017-11-14
1722853,2017-11-14
1722854,2017-11-14
1722855,2017-11-14
1722856,2017-11-14
1722857,2017-11-14
1722858,2017-11-14
1722859,2017-11-14
1722860,2017-11-14
1722861,2017-11-14
1722862,2017-11-14
1722863,2017-11-14
1722864,2017-11-14
1722865,2017-11-14
1722866,2017-11-14
1722867,2017-11-14
1722868,2017-11-14
1722869,2017-11-14
1722870,2017-11-14
1722871,2017-11-14
1722872,2017-11-14
1722873,2017-11-14
1722874,2017-11-14
1722875,2017-11-14
1722876,2017-11-14
1722877,2017-11-14
1722878,2017-11-14
1722879,2017-11-14
1722880,2017-11-14
1722881,2017-11-14
1722882,2017-11-14
1722883,2017-11-14
1722884,2017-11-14
1722885,2017-11-14
1722886,2017-11-14
1722887,2017-11-14
1722888,2017-11-14
1722889,2017-11-14
1722890,2017-11-14
1722891,2017-11-14
1722892,2017-11-14
1722893,2017-11-14
1722894,2017-11-14
1722895,2017-11-14
1722896,2017-11-14
1722897,2017-11-14
1722898,2017-11-14
1722899,2017-11-14
1722900,2017-11-14
1722901,2017-11-14
1722902,2017-11-14
1722903,2017-11-14
1722904,2017-11-14
1722905,2017-11-14
1722906,2017-11-14
1722907,2017-11-14
1722908,2017-11-14
1722909,2017-11-14
1722910,2017-11-14
1722911,2017-11-14
1722912,2017-11-14
1722913,2017-11-14
1722914,2017-11-15
1722915,2017-11-15
1722916,2017-11-15
1722917,2017-11-15
1722918,2017-11-15
1722919,2017-11-15
1722920,2017-11-15
1722921,2017-11-15
1722922,2017-11-15
1722923,2017-11-15
1722924,2017-11-15
1722925,2017-11-15
1722926,2017-11-15
1722927,2017-11-15
1722928,2017-11-15
1722929,2017-11-15
1722930,2017-11-15
1722931,2017-11-15
1722932,2017-11-15
1722933,2017-11-15
1722934,2017-11-15
1722935,2017-11-15
1722936,2017-11-15
1722937,2017-11-15
1722938,2017-11-15
1722939,2017-11-15
1722940,2017-11-15
1722941,2017-11-15
1722942,2017-11-15
1722943,2017-11-15
1722944,2017-11-15
1722945,2017-11-15
1722946,2017-11-15
1722947,2017-11-15
1722948,2017-11-15
1722949,2017-11-15
1722950,2017-11-15
1722951,2017-11-15
1722952,2017-11-15
1722953,2017-11-15
1722954,2017-11-15
1722955,2017-11-15
1722956,2017-11-15
1722957,2017-11-15
1722958,2017-11-15
1722959,2017-11-15
1722960,2017-11-15
1722961,2017-11-15
1722962,2017-11-15
1722963,2017-11-15
1722964,2017-11-15
1722965,2017-11-15
1722966,2017-11-15
1722967,2017-11-15
1722968,2017-11-15
1722969,2017-11-15
1722970,2017-11-15
1722971,2017-11-15
1722972,2017-11-15
1722973,2017-11-15
1722974,2017-11-15
1722975,2017-11-15
1722976,2017-11-15
1722977,2017-11-15
1722978,2017-11-15
1722979,2017-11-15
1722980,2017-11-15
1722981,2017-11-15
1722982,2017-11-15
1722983,2017-11-15
1722984,2017-11-15
1722985,2017-11-15
1722986,2017-11-15
1722987,2017-11-15
1722988,2017-11-15
1722989,2017-11-15
1722990,2017-11-16
1722991,2017-11-16
1722992,2017-11-16
1722993,2017-11-16
1722994,2017-11-16
1722995,2017-11-16
1722996,2017-11-16
1722997,2017-11-16
1722998,2017-11-16
1722999,2017-11-16
1723000,2017-11-16
1723001,2017-11-16
1723002,2017-11-16
1723003,2017-11-16
1723004,2017-11-16
1723005,2017-11-16
1723006,2017-11-16
1723007,2017-11-16
1723008,2017-11-16
1723009,2017-11-16
1723010,2017-11-16
1723011,2017-11-16
1723012,2017-11-16
1723013,2017-11-16
1723014,2017-11-16
1723015,2017-11-16
1723016,2017-11-16
1723017,2017-11-16
1723018,2017-11-16
1723019,2017-11-16
1723020,2017-11-16
1723021,2017-11-16
1723022,2017-11-16
1723023,2017-11-16
1723024,2017-11-16
1723025,2017-11-16
1723026,2017-11-16
1723027,2017-11-16
1723028,2017-11-16
1723029,2017-11-16
1723030,2017-11-16
1723031,2017-11-16
1723032,2017-11-16
1723033,2017-11-16
1723034,2017-11-16
1723035,2017-11-16
1723036,2017-11-16
1723037,2017-11-16
1723038,2017-11-16
1723039,2017-11-16
1723040,2017-11-16
1723041,2017-11-16
1723042,2017-11-16
1723043,2017-11-16
1723044,2017-11-16
1723045,2017-11-16
1723046,2017-11-16
1723047,2017-11-16
1723048,2017-11-16
1723049,2017-11-16
1723050,2017-11-16
1723051,2017-11-16
1723052,2017-11-16
1723053,2017-11-16
1723054,2017-11-16
1723055,2017-11-16
1723056,2017-11-16
1723057,2017-11-16
1723058,2017-11-16
1723059,2017-11-16
1723060,2017-11-16
1723061,2017-11-16
1723062,2017-11-16
1723063,2017-11-16
1723064,2017-11-16
1723065,2017-11-16
1723066,2017-11-16
1723067,2017-11-16
1723068,2017-11-16
1723069,2017-11-16
1723070,2017-11-16
1723071,2017-11-16
1723072,2017-11-16
1723073,2017-11-16
1723074,2017-11-16
